Subject|Question|OptionA|OptionB|OptionC|OptionD|Answer|Explanation

History|Who founded the Imperial Chola dynasty?|Karikala|Vijayalaya|Rajaraja|Aditya|B|Vijayalaya founded the Imperial Chola dynasty.
History|Who founded the Maurya Empire?|Chandragupta Maurya|Ashoka|Bindusara|Harsha|A|Chandragupta Maurya founded the Maurya Empire with the help of Chanakya.
History|Battle of Plassey was fought in which year?|1757|1764|1857|1805|A|The Battle of Plassey in 1757 marked the beginning of British political dominance in India.
History|Who built the Qutub Minar?|Iltutmish|Qutb-ud-din Aibak|Alauddin Khilji|Sher Shah Suri|B|Qutb-ud-din Aibak started construction of Qutub Minar.
History|The Harappan Civilization is also called?|Vedic Civilization|Indus Valley Civilization|Aryan Civilization|Gupta Civilization|B|It developed along the Indus River basin.
History|Who was the first Mughal emperor?|Akbar|Babur|Humayun|Jahangir|B|Babur established the Mughal Empire in 1526.
History|The Revolt of 1857 started from?|Delhi|Meerut|Kanpur|Lucknow|B|It began with the sepoy mutiny at Meerut.
History|Ashoka embraced Buddhism after which war?|Kalinga War|Panipat War|Tarain War|Khanwa War|A|The Kalinga War caused deep remorse leading to his conversion.
History|Capital of the Gupta Empire was?|Ujjain|Delhi|Pataliputra|Kannauj|C|Pataliputra was the main capital of Gupta rulers.
History|Doctrine of Lapse was introduced by?|Clive|Dalhousie|Wellesley|Cornwallis|B|Lord Dalhousie used it for annexation of states.

Polity|Which Articles deal with Fundamental Rights?|12-35|36-51|52-78|79-122|A|Fundamental Rights are covered under Articles 12 to 35.
Polity|Indian Constitution came into force on which date?|15 August 1947|26 January 1950|2 October 1950|26 November 1949|B|The Constitution came into effect on 26 January 1950.
Polity|Right to Constitutional Remedies is under which Article?|Article 21|Article 19|Article 32|Article 14|C|Article 32 allows citizens to approach Supreme Court.
Polity|Who is the head of the Indian Union?|Prime Minister|President|Governor|Chief Justice|B|The President is the constitutional head of India.
Polity|Rajya Sabha is also known as?|Lower House|Upper House|People’s House|State Cabinet|B|Rajya Sabha is the Upper House of Parliament.
Polity|Fundamental Rights are borrowed from which country?|UK|USA|USSR|France|B|They are inspired by the US Constitution.
Polity|Article 21 deals with?|Right to Property|Right to Life|Right to Vote|Right to Education|B|Article 21 guarantees Right to Life and Personal Liberty.
Polity|Who appoints the Chief Election Commissioner?|Prime Minister|President|Parliament|Supreme Court|B|The President appoints the Election Commissioner.
Polity|Panchayati Raj system introduced by which amendment?|42nd|44th|73rd|86th|C|73rd Amendment gave constitutional status.
Polity|Directive Principles are borrowed from?|USA|UK|Ireland|Canada|C|They are inspired by the Irish Constitution.

Economy|Primary sector refers to?|Agriculture|Manufacturing|Services|IT industry|A|It includes farming, fishing, and mining.
Economy|Inflation means?|Decrease in prices|Stable prices|Rise in prices|Increase in exports|C|Inflation is a continuous rise in prices.
Economy|RBI established in which year?|1935|1947|1950|1921|A|Reserve Bank of India was established in 1935.
Economy|GDP stands for?|Gross Domestic Product|General Development Plan|Gross Development Profit|Global Domestic Price|A|GDP measures total output of a country.
Economy|LPG stands for?|Liberalization Privatization Globalization|Land Production Growth|Loan Policy Growth|Legal Public Governance|A|LPG reforms were introduced in 1991.
Economy|Currency in India is issued by?|SBI|Finance Ministry|RBI|SEBI|C|RBI issues currency notes.
Economy|Poverty line is based on?|Income level|Education level|Health status|Geography|A|It is measured using minimum income criteria.
Economy|Fiscal policy is controlled by?|RBI|Government|Banks|SEBI|B|Fiscal policy deals with taxation and expenditure.
Economy|Unemployment refers to?|No jobs available|Willing but jobless|Part-time work|Seasonal farming|B|People willing to work but unable to find jobs.
Economy|National income refers to?|Agriculture income|Industry income|Total income of country|Foreign income only|C|It is the total income of a nation.